surface,region,path_id,grid_points,mu_MnOH2_min_eV,mu_MnOH2_max_eV,mu_H2O_min_eV,mu_H2O_max_eV,states,mechanisms
011,R052,P39118,11,-1,-0.8,-0.1,0,S000 -> S100 -> S101 -> S211 -> S221 -> S222 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S644,OL -> SR -> OX -> C -> SR -> OL -> SR -> OL -> SR -> C -> OL -> OX
011,R053,P68419,6,-0.8,-0.7,-1.8,-1.65,S000 -> S110 -> S111 -> S211 -> S212 -> S322 -> S323 -> S324 -> S434 -> S534 -> S544 -> S644,OX -> SR -> OL -> SR -> OX -> SR -> SR -> OX -> OL -> C -> OL
011,R054,P68422,656,-3.7,-0.85,-4,-1.8,S000 -> S110 -> S111 -> S211 -> S212 -> S322 -> S323 -> S324 -> S434 -> S544 -> S644,OX -> SR -> OL -> SR -> OX -> SR -> SR -> OX -> OX -> OL
011,R055,P68423,9,-2.05,-1.75,-0.85,-0.65,S000 -> S110 -> S111 -> S211 -> S212 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S544 -> S644,OX -> SR -> OL -> SR -> OX -> SR -> OL -> SR -> C -> OL -> C -> OL
011,R056,P68478,246,-3.9,-1.8,-4,-2,S000 -> S110 -> S111 -> S211 -> S212 -> S322 -> S323 -> S433 -> S434 -> S544 -> S644,OX -> SR -> OL -> SR -> OX -> SR -> OX -> SR -> OX -> OL
011,R057,P68487,40,-3.45,-2.15,-3.4,-2,S000 -> S110 -> S111 -> S211 -> S212 -> S322 -> S323 -> S433 -> S543 -> S544 -> S644,OX -> SR -> OL -> SR -> OX -> SR -> OX -> OX -> SR -> OL
011,R058,P68630,230,-1.9,-0.7,-1.7,-0.65,S000 -> S110 -> S111 -> S211 -> S212 -> S322 -> S432 -> S433 -> S434 -> S534 -> S544 -> S644,OX -> SR -> OL -> SR -> OX -> OX -> SR -> SR -> OL -> C -> OL
011,R059,P68633,152,-2.05,-0.85,-1.95,-1.65,S000 -> S110 -> S111 -> S211 -> S212 -> S322 -> S432 -> S433 -> S434 -> S544 -> S644,OX -> SR -> OL -> SR -> OX -> OX -> SR -> SR -> OX -> OL
011,R060,P68634,163,-2.4,-1.7,-1.9,-0.65,S000 -> S110 -> S111 -> S211 -> S212 -> S322 -> S432 -> S433 -> S533 -> S534 -> S544 -> S644,OX -> SR -> OL -> SR -> OX -> OX -> SR -> OL -> SR -> C -> OL
011,R061,P68636,535,-4,-2.25,-4,-1.55,S000 -> S110 -> S111 -> S211 -> S212 -> S322 -> S432 -> S433 -> S533 -> S534 -> S644,OX -> SR -> OL -> SR -> OX -> OX -> SR -> OL -> SR -> OX
011,R062,P68642,57,-2.85,-2,-2.6,-1.6,S000 -> S110 -> S111 -> S211 -> S212 -> S322 -> S432 -> S433 -> S543 -> S544 -> S644,OX -> SR -> OL -> SR -> OX -> OX -> SR -> OX -> SR -> OL
011,R063,P70046,79,-1.75,-0.95,-1.4,-0.7,S000 -> S110 -> S111 -> S211 -> S321 -> S322 -> S432 -> S433 -> S434 -> S534 -> S544 -> S644,OX -> SR -> OL -> OX -> SR -> OX -> SR -> SR -> OL -> C -> OL
011,R064,P70050,8,-1.8,-1.6,-1.4,-1.05,S000 -> S110 -> S111 -> S211 -> S321 -> S322 -> S432 -> S433 -> S533 -> S534 -> S544 -> S644,OX -> SR -> OL -> OX -> SR -> OX -> SR -> OL -> SR -> C -> OL
011,R065,P70094,24,-2.9,-2.35,-1,-0.65,S000 -> S110 -> S111 -> S221 -> S222 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S544 -> S644,OX -> SR -> OX -> SR -> OL -> SR -> OL -> SR -> C -> OL -> C -> OL
011,R066,P70100,27,-3.55,-2.9,-1.45,-0.95,S000 -> S110 -> S111 -> S221 -> S222 -> S322 -> S323 -> S423 -> S424 -> S524 -> S534 -> S644,OX -> SR -> OX -> SR -> OL -> SR -> OL -> SR -> OL -> C -> OX
011,R067,P70103,26,-4,-3.4,-1.75,-1.25,S000 -> S110 -> S111 -> S221 -> S222 -> S322 -> S323 -> S423 -> S424 -> S534 -> S544 -> S644,OX -> SR -> OX -> SR -> OL -> SR -> OL -> SR -> OX -> C -> OL
011,R068,P70305,231,-4,-2.55,-1.3,-0.65,S000 -> S110 -> S111 -> S221 -> S222 -> S322 -> S432 -> S433 -> S533 -> S534 -> S544 -> S644,OX -> SR -> OX -> SR -> OL -> OX -> SR -> OL -> SR -> C -> OL
011,R069,P70307,33,-4,-3.6,-1.6,-1.35,S000 -> S110 -> S111 -> S221 -> S222 -> S322 -> S432 -> S433 -> S533 -> S534 -> S644,OX -> SR -> OX -> SR -> OL -> OX -> SR -> OL -> SR -> OX
